B <02:13:46> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:13:55> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:13:56> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:14:05> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:14:06> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:14:15> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:14:17> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:14:25> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:14:26> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:14:35> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:14:36> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:14:45> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:14:46> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:14:55> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:14:56> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:15:05> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:15:06> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:15:15> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:15:16> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:15:25> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:15:26> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:15:35> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:15:36> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:15:45> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:15:46> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:15:55> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:15:56> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:16:05> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:16:06> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:16:15> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:16:16> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:16:25> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:16:26> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:16:35> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:16:36> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <02:16:45> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <02:16:46> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <17:40:59> ########### CorumZero Online - Village Server Started! ###########
C <17:42:35> pResult->Query.select.pResult == NULL
C <17:42:48> pResult->Query.select.pResult == NULL
G <17:42:58> UpdateUserDB Name : yyy-minjin-yyy, Level : 1, Exp : 80000000
G <17:42:58> UpdateUserDB Name : zzz-minjin-zzz, Level : 1, Exp : 80000000
