### Packet Size Reporting Start!!! ###

### Login Agent to Client ### 
[ SIZE :     7 ] WSTC_LOGIN_FAIL
[ SIZE :   332 ] WSTC_LOGIN_SUCCESS
[ SIZE :    22 ] WSTC_MESSENGER_FAIL
[ SIZE :     7 ] WSTC_MESSENGER_STATUS
[ SIZE :    29 ] WSTC_MESSENGER_SUCCESS
[ SIZE :    30 ] WSTC_MESSENGER_USER
[ SIZE :    26 ] WSTC_MESSENGER_USERADD
[ SIZE :    23 ] WSTC_MESSENGER_USERFAIL
[ SIZE :     7 ] WSTC_MESSENGER_USERINFO
[ SIZE :    15 ] WSTC_MOVE_TO_WORLD
[ SIZE :     3 ] WSTC_PARTY_ENTRY
[ SIZE :    14 ] WSTC_PARTY_HP
[ SIZE :    29 ] WSTC_PARTY_INFO
[ SIZE :    65 ] WSTC_PARTY_INFOREQUEST
[ SIZE :    27 ] WSTC_PARTY_JOIN
[ SIZE :    34 ] WSTC_PARTY_JOINID
[ SIZE :    26 ] WSTC_PARTY_LEADER
[ SIZE :    14 ] WSTC_PARTY_LEVEL
[ SIZE :    27 ] WSTC_PARTY_LOGOUT
[ SIZE :    36 ] WSTC_PARTY_PORTAL
[ SIZE :    23 ] WSTC_PARTY_PORTALFAIL
[ SIZE :    17 ] WSTC_PARTY_PORTALMOVE
[ SIZE :    37 ] WSTC_PARTY_PORTALUSED
[ SIZE :     6 ] WSTC_PARTY_SET
[ SIZE :    50 ] WSTC_PARTY_USERREQUEST
[ SIZE :     3 ] WSTC_PARTY_USERREQUEST_FAIL
